
598 - zzSize=4.25  [11/8/2016 20:26:55--11/8/2016 20:27:33]
601 - zzSize=-6.75  [11/8/2016 20:27:33--11/8/2016 20:27:45]
606 - ZZSize=10  [11/8/2016 20:27:45--11/8/2016 20:28:14] >=10 + + + 0.48
608 - zzSize=-4.75  [11/8/2016 20:28:14--11/8/2016 20:28:26]
614 - zzSize=7.75  [11/8/2016 20:28:26--11/8/2016 20:30:19]
624 - zzSize=-8  [11/8/2016 20:30:19--11/8/2016 20:32:05]
626 - zzSize=5  [11/8/2016 20:32:05--11/8/2016 20:32:13]
647 - ZZSize=-18  [11/8/2016 20:32:13--11/8/2016 20:35:38] >=16 - - - 3.42
656 - zzSize=9  [11/8/2016 20:35:38--11/8/2016 20:36:15]
665 - zzSize=-7  [11/8/2016 20:36:15--11/8/2016 20:37:42]
667 - zzSize=4.25  [11/8/2016 20:37:42--11/8/2016 20:38:00]
672 - ZZSize=-10  [11/8/2016 20:38:00--11/8/2016 20:38:47] >=10 - - - 0.78
677 - zzSize=6.25  [11/8/2016 20:38:47--11/8/2016 20:39:06]
679 - zzSize=-5  [11/8/2016 20:39:06--11/8/2016 20:39:36]
688 - ZZSize=13.25  [11/8/2016 20:39:36--11/8/2016 20:41:07] >=10 + + + 1.52
690 - zzSize=-4.75  [11/8/2016 20:41:07--11/8/2016 20:41:22]
695 - zzSize=6.75  [11/8/2016 20:41:22--11/8/2016 20:41:53]
699 - zzSize=-8.25  [11/8/2016 20:41:53--11/8/2016 20:42:50]
703 - zzSize=7  [11/8/2016 20:42:50--11/8/2016 20:43:10]
706 - zzSize=-6.25  [11/8/2016 20:43:10--11/8/2016 20:43:52]
711 - zzSize=6.75  [11/8/2016 20:43:52--11/8/2016 20:45:57]
716 - zzSize=-6  [11/8/2016 20:45:57--11/8/2016 20:46:30]
718 - zzSize=4.5  [11/8/2016 20:46:30--11/8/2016 20:47:01]
732 - zzSize=-9.25  [11/8/2016 20:47:01--11/8/2016 20:52:54]
744 - ZZSize=15.25  [11/8/2016 20:52:54--11/8/2016 20:54:47] >=10 + + + 1.88
746 - zzSize=-5.5  [11/8/2016 20:54:47--11/8/2016 20:55:09]
750 - zzSize=7.25  [11/8/2016 20:55:09--11/8/2016 20:56:39]
754 - zzSize=-6.75  [11/8/2016 20:56:39--11/8/2016 20:57:54]
760 - zzSize=9.5  [11/8/2016 20:57:54--11/8/2016 20:58:15]
801 - ZZSize=-24.5  [11/8/2016 20:58:15--11/8/2016 21:05:38] >=22 - - - 7.38
804 - zzSize=6  [11/8/2016 21:05:38--11/8/2016 21:06:18]
823 - ZZSize=-17.25  [11/8/2016 21:06:18--11/8/2016 21:07:50] >=16 - - - 1.53
827 - zzSize=7.5  [11/8/2016 21:07:50--11/8/2016 21:08:00]
834 - zzSize=-6.5  [11/8/2016 21:08:00--11/8/2016 21:08:22]
837 - zzSize=4.75  [11/8/2016 21:08:22--11/8/2016 21:08:23]
842 - zzSize=-8.75  [11/8/2016 21:08:23--11/8/2016 21:08:35]
845 - zzSize=5.5  [11/8/2016 21:08:35--11/8/2016 21:08:58]
847 - zzSize=-4.25  [11/8/2016 21:08:58--11/8/2016 21:09:03]
860 - ZZSize=10.75  [11/8/2016 21:09:03--11/8/2016 21:11:19] >=10 + + + 2.27
870 - zzSize=-7.75  [11/8/2016 21:11:19--11/8/2016 21:12:29]
877 - zzSize=7  [11/8/2016 21:12:29--11/8/2016 21:14:09]
890 - zzSize=-9.25  [11/8/2016 21:14:09--11/8/2016 21:15:09]
905 - ZZSize=13.5  [11/8/2016 21:15:09--11/8/2016 21:17:46] >=10 + + + 2.62
910 - zzSize=-6.75  [11/8/2016 21:17:46--11/8/2016 21:18:54]
916 - zzSize=4.75  [11/8/2016 21:18:54--11/8/2016 21:21:48]
937 - ZZSize=-18.25  [11/8/2016 21:21:48--11/8/2016 21:25:54] >=16 - - - 4.1
939 - zzSize=5  [11/8/2016 21:25:54--11/8/2016 21:26:04]
957 - ZZSize=-13.25  [11/8/2016 21:26:04--11/8/2016 21:29:12] >=10 - - - 3.13
969 - ZZSize=10.75  [11/8/2016 21:29:12--11/8/2016 21:30:43] >=10 + + + 1.52
972 - zzSize=-6.25  [11/8/2016 21:30:43--11/8/2016 21:30:58]
982 - zzSize=8.5  [11/8/2016 21:30:58--11/8/2016 21:33:18]
988 - zzSize=-7.25  [11/8/2016 21:33:18--11/8/2016 21:34:09]
991 - zzSize=6  [11/8/2016 21:34:09--11/8/2016 21:34:38]
994 - zzSize=-5.5  [11/8/2016 21:34:38--11/8/2016 21:35:17]
1009 - ZZSize=17.5  [11/8/2016 21:35:17--11/8/2016 21:36:49] >=16 + + + 1.53
1018 - ZZSize=-11.75  [11/8/2016 21:36:49--11/8/2016 21:38:30] >=10 - - - 1.68
1024 - zzSize=8.25  [11/8/2016 21:38:30--11/8/2016 21:40:03]
1029 - zzSize=-6.75  [11/8/2016 21:40:03--11/8/2016 21:42:12]
1037 - ZZSize=11.25  [11/8/2016 21:42:12--11/8/2016 21:44:59] >=10 + + + 2.78
1039 - zzSize=-4.25  [11/8/2016 21:44:59--11/8/2016 21:45:16]
1045 - zzSize=5.75  [11/8/2016 21:45:16--11/8/2016 21:46:49]
1052 - zzSize=-8.75  [11/8/2016 21:46:49--11/8/2016 21:47:48]
1061 - zzSize=6.75  [11/8/2016 21:47:48--11/8/2016 21:49:00]
1071 - ZZSize=-12.5  [11/8/2016 21:49:00--11/8/2016 21:51:21] >=10 - - - 2.35
1077 - zzSize=7.25  [11/8/2016 21:51:21--11/8/2016 21:51:56]
1095 - ZZSize=-12.25  [11/8/2016 21:51:56--11/8/2016 21:55:50] >=10 - - - 3.9
1097 - zzSize=4.75  [11/8/2016 21:55:50--11/8/2016 21:56:39]
1104 - ZZSize=-10.25  [11/8/2016 21:56:39--11/8/2016 21:57:31] >=10 - - - 0.87
1110 - ZZSize=11.25  [11/8/2016 21:57:31--11/8/2016 21:58:54] >=10 + + + 1.38
1113 - zzSize=-4.25  [11/8/2016 21:58:54--11/8/2016 22:01:07]
1118 - zzSize=8.75  [11/8/2016 22:01:07--11/8/2016 22:02:05]
1131 - zzSize=-9.5  [11/8/2016 22:02:05--11/8/2016 22:07:35]
1141 - zzSize=7.25  [11/8/2016 22:07:35--11/8/2016 22:11:57]
1153 - zzSize=-9.75  [11/8/2016 22:11:57--11/8/2016 22:15:45]
1156 - zzSize=7.5  [11/8/2016 22:15:45--11/8/2016 22:16:47]
1162 - zzSize=-7.75  [11/8/2016 22:16:47--11/8/2016 22:19:44]
1166 - zzSize=6.75  [11/8/2016 22:19:44--11/8/2016 22:20:25]
1170 - zzSize=-5.25  [11/8/2016 22:20:25--11/8/2016 22:21:17]
1181 - ZZSize=12.5  [11/8/2016 22:21:17--11/8/2016 22:26:09] >=10 + + + 4.87
1184 - zzSize=-4.5  [11/8/2016 22:26:09--11/8/2016 22:27:11]
1191 - zzSize=9.75  [11/8/2016 22:27:11--11/8/2016 22:30:04]
1209 - ZZSize=-19  [11/8/2016 22:30:04--11/8/2016 22:32:45] >=16 - - - 2.68
1214 - zzSize=5.25  [11/8/2016 22:32:45--11/8/2016 22:34:06]
1226 - ZZSize=-11.5  [11/8/2016 22:34:06--11/8/2016 22:39:28] >=10 - - - 5.37
1231 - zzSize=5.5  [11/8/2016 22:39:28--11/8/2016 22:40:23]
1236 - zzSize=-4.75  [11/8/2016 22:40:23--11/8/2016 22:42:50]
1242 - zzSize=6.5  [11/8/2016 22:42:50--11/8/2016 22:45:30]
1249 - zzSize=-7.75  [11/8/2016 22:45:30--11/8/2016 22:56:22]
1258 - zzSize=7.75  [11/8/2016 22:56:22--11/8/2016 23:17:39]
1261 - zzSize=-6.25  [11/8/2016 23:17:39--11/8/2016 23:21:05]
1274 - ZZSize=17.25  [11/8/2016 23:21:05--11/8/2016 23:30:53] >=16 + + + 9.8
1279 - ZZSize=-11.5  [11/8/2016 23:30:53--11/8/2016 23:34:12] >=10 - - - 3.32
1281 - zzSize=4.75  [11/8/2016 23:34:12--11/8/2016 23:35:53]
1287 - zzSize=-7  [11/8/2016 23:35:53--11/8/2016 23:39:57]
1296 - zzSize=7.25  [11/8/2016 23:39:57--11/8/2016 23:47:20]
1301 - zzSize=-7.25  [11/8/2016 23:47:20--11/8/2016 23:54:24]
1310 - ZZSize=10.5  [11/8/2016 23:54:24--11/9/2016 00:06:20] >=10 + + + 11.93
1316 - zzSize=-8  [11/9/2016 00:06:20--11/9/2016 00:09:33]
1324 - ZZSize=13.75  [11/9/2016 00:09:33--11/9/2016 00:15:07] >=10 + + + 5.57
1329 - zzSize=-7.25  [11/9/2016 00:15:07--11/9/2016 00:21:32]
1332 - zzSize=6.25  [11/9/2016 00:21:32--11/9/2016 00:24:04]
1335 - zzSize=-7.5  [11/9/2016 00:24:04--11/9/2016 00:25:04]
1340 - zzSize=8.75  [11/9/2016 00:25:04--11/9/2016 00:28:32]
1345 - zzSize=-6  [11/9/2016 00:28:32--11/9/2016 00:30:27]
